1679 1693    461
1505 1920    456
1284 1845    448
1256 1427 1553 1574 1623 1679    446
1179 1245    441
1167 1817    440
1152 1304 1926    439
1134 1690 1726 1744    437
1006 1202    427
1001 1348 1427 1679    426
913 1004 1257 1914    419
895 1131 1177 1190 1395 1550 1560 1606 1712 1785 1792 1827 1836    415
1042 1099 1246 1679    409
1142 1185    408
818 860 1780    407
794 969    403
780 1075 1594    402
754 1211    398
750 1624 1908    397
725 1280 1284 1790    396
682 687 1173 1683 1736 1745 1776 1858    393
658 1824    390
624 736 1127    388
612 1001 1372    386
1245 1760    385
584    381
551 644 974 1400    380
501 1001 1079 1840    376
498 1431    375
498 545 681 931 1436 1533 1583 1595    374
483 1025    373
483 687 765 826 1013 1040 1420    372
483    372 373
451 528 1255 1751 1862    371
449 476 700 913 996 1092 1247 1578 1685 1822    368
451 913 969 999 1001 1004 1158 1284 1433 1858    364
638 680 988 1578 1701 1872    363
391 1158 1827    357
379 612 765 947 1091 1302 1553    350
370 385 930 1113 1181 1470 1578 1604    348
343 506 1245 1905    341
441 448 484 936 960 973 1127 1221 1599 1618 1643    334
281 850 1245 1255 1915    333
280 451 1578 1638 1897    332
280 300 420 529 725 977 1180 1182 1267 1714 1887    330
280 362 411 562 724 808 1454 1631    329
280 350 391 761 927 930 1024 1272 1308 1328 1661 1679 1763 1771    328
279 401 451 724 1091 1173 1196 1247 1319 1441 1471 1657 1672 1866 1899 1926    327
279 286 365 391 438 715 823 865 975 1191 1333 1505 1656 1842    326
1505    326 456
279 1163 1324 1568    325
274 340 429 976 1154 1245 1259 1551 1645 1677 1792 1834 1887 1901    322
274 570 580 869 1151 1742 1837    321
272 452 752    319
269 274 306 345 931 1179 1180    317
266 351 931 1786    314
261 278 316 328 349 371 428 451 506 550 557 572 574 681 768 775 837 856 893 939 1141 1177 1219 1227 1304 1372 1429 1476 1527 1578 1603 1754 1819    312
249 860 1639    311
247    309
246 248 335 368 452 764 1067 1213 1427 1541 1612    308
246 768 1219    307
768 1219    307 312
244 394 425 1028    306
240 319 663 929 1097    305
239 735 1217 1377 1472    304
239 259 267 269 314 359 369 434 439 442 520 567 569 619 707 726 818 860 871 955 1086 1152 1325 1332 1468 1482 1568 1740 1800 1879    303
239 266 272 280 311 374 429 567 682 732 749 803 812 958 1093 1156 1159 1316 1332 1428 1562 1565 1634 1659 1884 1903 1905 1917    302
239 567 1332    302 303
236 582 792 828 1181 1284 1349 1444 1465 1509 1634 1831    301
235 278 344 451 502 506 508 550 736 780 1141 1578 1754    300
278 451 506 550 1141 1578 1754    300 312
230 432 1209 1242    299
229 659 768 775 862 1075 1196    298
768 775    298 312
224    296
223 280 338 514 602 798 1065 1156 1284 1488    295
280 1156    295 302
219 493 860 878 1271    289
217 402 475 710 978 1018 1089 1530 1547 1561 1564 1576 1617 1823 1889    287
710    287 395
214 346 786 828 860 1030 1242 1523 1576 1926    285
209 229 301 307 328 388 411 838 913 1121 1186 1304 1410 1413 1449 1466 1508 1661 1822    284
328 1304    284 312
206 1047 1100    283
205 271 913 1140 1424 1930    281
201 211 249 275 312 339 405 455 562 563 591 601 624 743 785 864 873 887 979 985 987 999 1010 1016 1019 1108 1128 1138 1363 1500 1568 1616 1625 1748 1865    280
275 562 601    280 324
201 612 743 942 966 979 999 1001 1004 1010 1015 1016 1017 1019 1098 1108 1128 1136 1138 1167 1179 1263 1363    279
1098    279 434
201 743 979 999 1010 1016 1019 1108 1128 1138 1363    279 280
